h0,h1,h2,digit
0.236485688807137,0.015853626472286903,0.00473320949107431,9
0.19299709399787013,0.010413746214558896,5.198612977472959e-07,8
0.5537757962308042,0.1415667632682885,0.09771231638354469,7
0.19106462367218813,0.009597060759346238,1.3368846677600802e-06,8
0.18297991720681947,0.008049007204349855,9.404373722325943e-08,0
0.18288924507162518,0.00798105434234307,1.621994441304938e-07,0
0.1856890396155191,0.00902136276776489,3.8715396376866255e-07,0
0.1930270885342107,0.010389261988730431,2.7566790364894796e-06,8
0.48972339644996943,0.10199121112794939,0.003848567265998071,3
0.45273647505279324,0.104991345599787,0.039145321143427725,1
0.19166613160107804,0.009648211693290486,3.246173811813605e-08,8
0.2302166887580544,0.01353622586892739,0.004230125279054718,6
0.18341546698776806,0.008056188868272548,6.763040134908099e-07,0
0.3899095417688964,0.0369250834409706,0.024769049649898064,4
0.1822170508709563,0.007752943696722583,2.5664680911172426e-07,0
0.38813503887056405,0.03480885766144636,0.026021919243077528,4
0.4831683159347288,0.0872018255016879,0.0008943728758601862,5
0.535542790615863,0.1357547892230419,0.0649753471733561,7
0.21397214486959784,0.010075243343197857,0.0025077778382734317,6
0.3436130925104455,0.023627656605854558,0.012555451662731809,4
0.48886674927914925,0.12414095927917276,0.04160859904574302,1
0.1920189411589989,0.009949800220295757,3.0731083782267575e-06,8
0.39511068050008813,0.052826650911729486,0.00015786677198978256,5
0.2364856888071371,0.01585362647228693,0.004733209491074288,9
0.19299709399787013,0.010413746214558888,5.198612977404642e-07,8
0.5537757962308042,0.14156676326828846,0.09771231638354916,7
0.4629639065692034,0.07746457662208364,0.000729982022680692,2
0.22615539449584482,0.01217637716428473,0.003701089072729853,6
0.1883428987360366,0.0086060241543637793,3.0303629635575675e-07,8
0.4819061683543479,0.09828863745246254,0.004364107508588971,3
0.5648122787769594,0.15146712424495207,0.09428202503954583,7
0.3834795148459318,0.039510314575244995,0.02231953667004915,4
0.39523375409285,0.04999583531130197,0.001116148542483049,5
0.19195507685207513,0.009798957813424384,5.890552255023237e-07,8
0.18471251008290193,0.00867546298641715,6.153151819368551e-07,0
0.1840810054046953,0.008436658120105828,3.4780884788708404e-07,0
0.3606150387904034,0.031167870425799868,0.01892625790766503,4
0.19284835987790114,0.010342704223428065,1.8386342037890334e-06,8
0.4559640722144891,0.0837941395103107,0.0008040916124228611,2
0.18279440483075615,0.007939508757781677,1.8366297326478656e-06,0
0.3909930716796961,0.048744050497545155,0.0010730190184257984,5
0.1916535661516332,0.00981304272971401,3.847509518676918e-07,8
0.18201108776206532,0.007623786271404002,2.8589545621865326e-07,0
0.23226995705859044,0.01499938456934772,0.003559739421748706,6
0.473271653457635,0.09078796598135212,0.0008744646426650336,2
0.18367096960182405,0.008259694801521208,8.719879382559235e-07,0
0.1915547625536373,0.009917657104006716,3.5411207272286934e-07,8
0.2321633780070697,0.014763935522351074,0.004310898062788017,9
0.3706081268569985,0.029688437164482183,0.0207863184216834,4
0.19684678589923066,0.013280102265607873,1.2505223975198965e-06,0
0.19743065431319606,0.013451391920724011,5.867666419623775e-06,0
0.4713283409285587,0.1315663987508887,0.038568839514187124,1
0.1883428987360366,0.008606241543637793,3.0303629635575675e-07,8
0.6132394680819364,0.17727536639291774,0.13318607373191468,7
0.23879136891492148,0.016140929869525516,0.005248928081052348,9
0.23214591645172536,0.013950417158418878,0.004748574069993739,6
0.19540854073449185,0.010811869077295448,4.829811855891382e-07,8
0.1834178985566546,0.008106599115926214,1.1703658686421364e-06,0
0.4974168618560255,0.10521623492236507,0.004247420952876391,3
0.46166691980512586,0.10855498363511777,0.042834117856533446,1
0.19350454954416937,0.010581241730756183,7.957969012307595e-07,8
0.1858440917953468,0.009088677488512992,4.934301585179409e-07,0
0.23967080489246284,0.017159063856123827,0.004471945987113985,6
0.4959546642407614,0.10232136966820941,0.07513866416830764,7
0.18285366537165554,0.007989410060653322,5.887286263085511e-06,0
0.1848621005648769,0.008708087980108416,2.720425582531865e-06,0
0.46341498457520913,0.08769129483772174,0.003919766705018895,3
0.37319698054806527,0.0374965058519387,0.019763320935870462,4
0.5251143623685995,0.1265166944834295,0.07945434291979935,7
0.23286089144780475,0.015216529737449259,0.004266875414145022,9
0.3589898997079598,0.028286125785151276,0.018965064486264626,4
0.1910308194085077,0.009696292596700639,3.1733144290189086e-07,8
0.4625813267208066,0.08754844548222264,0.0038646104112734668,3
0.37199156675927625,0.03730187496352903,0.019569317025059492,4
0.5233817839306962,0.1254774319669854,0.0790513123939074,7
0.3763069729397715,0.033276717876175414,0.02221903872858956,4
0.1816760268731839,0.0075451345880865476,3.49273654457626e-07,0
0.36122612027034806,0.029404175661090985,0.017996036815711863,4
0.5085939494317417,0.11957089541549139,0.06094992780968852,7
0.22735356294653217,0.013301631258115985,0.0036842887734367218,6
0.18189240217300362,0.007620300259062197,2.153556084489994e-06,0
0.40880719517264064,0.07862336942539211,0.026152581216601377,1
0.19014335762658457,0.009398594339794323,5.519634474966302e-08,8
0.18204183830718412,0.007691537630709251,6.643883975075635e-08,0
0.23000105349521432,0.014730884445546696,0.0037770333937335765,6
0.5241102034696712,0.10272069364883304,0.09814156405326194,7
0.42350931597222174,0.07624756663354627,0.042021547025109046,1
0.38546795881022805,0.03725745951385819,0.023452621820466063,4
0.371782769728115,0.03071810411139196,0.01986959136339932,4
0.1818177477106917,0.00761581833646125,1.6643945425290755e-08,0
0.1871537972913026,0.009457377723597867,5.261660840707155e-06,0
0.37720401296814876,0.034456967724186015,0.02349694812368924,4
0.1939732997628379,0.010733624862719249,6.72047077372038e-08,8
0.25661089856856945,0.01313987182975317,0.0011712729019719749,2
0.3492788981730931,0.006133717688130015,0.0017465615811591783,6
0.3134141775050932,0.00634622545306288,0.00937537885762461,5
0.40042909482312383,0.08456731193867979,0.0007862253664778179,4
0.3882084168955454,0.08913376594598592,0.00472781746656189,0
0.39387649943478864,0.08277044372126481,0.0009674659241672727,4
0.2681379178052975,0.0075401704895083025,0.0030683226627594975,3
0.4052041390354988,0.07827568289740286,0.0006185921631204151,4
0.2738131868152757,0.030471748898863043,0.005894691464321524,7
